calorie requirement,average sleep duration,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species_adelie,species_chinstrap,species_gentoo,gender_female,gender_male
0.0,0.7142857142857143,0.06521739130434782,0.043859649122807015,0.8144796380090498,0.5016611295681063,1.0,0.0,0.0,1.0,0.0
0.005957216355266721,1.0,0.16304347826086957,0.017543859649122806,0.9276018099547512,0.7554448135843485,0.0,0.0,1.0,1.0,0.0
0.006498781478472786,0.7142857142857143,0.1956521739130435,0.05263157894736842,0.8733031674208145,0.584717607973422,0.0,1.0,0.0,0.0,1.0
0.00785269428648795,0.7142857142857143,0.16304347826086957,0.017543859649122806,0.9276018099547512,0.8800295311923219,0.0,0.0,1.0,0.0,1.0
0.015976171134578932,0.14285714285714285,0.05434782608695652,0.043859649122807015,0.8280542986425339,0.5293466223698782,1.0,0.0,0.0,0.0,1.0
0.017871649065800164,0.2857142857142857,0.09782608695652174,0.008771929824561403,0.9049773755656109,0.7046880767811,0.0,0.0,1.0,1.0,0.0
0.01868399675060926,0.14285714285714285,0.03260869565217391,0.03508771929824561,0.8144796380090498,0.4739756367663344,1.0,0.0,0.0,1.0,0.0
0.018954779312212292,1.0,0.1956521739130435,0.03508771929824561,0.8416289592760181,0.5155038759689923,0.0,1.0,0.0,1.0,0.0
0.024370430544272948,0.14285714285714285,0.13043478260869565,0.017543859649122806,0.9366515837104072,0.7369878183831672,0.0,0.0,1.0,0.0,1.0
0.029515299214730572,1.0,0.11956521739130435,0.008771929824561403,0.8959276018099548,0.6816168327796235,0.0,0.0,1.0,1.0,0.0
0.0314107771459518,0.14285714285714285,0.2391304347826087,0.06140350877192982,0.8642533936651584,0.630860095976375,0.0,1.0,0.0,0.0,1.0
0.03899268887083672,0.0,0.05434782608695652,0.02631578947368421,0.8235294117647058,0.3909191583610188,1.0,0.0,0.0,1.0,0.0
0.044408340102897376,0.42857142857142855,0.05434782608695652,0.043859649122807015,0.7601809954751131,0.5570321151716501,1.0,0.0,0.0,0.0,1.0
0.04684538315732467,0.2857142857142857,0.18478260869565216,0.017543859649122806,0.9547511312217195,1.0,0.0,0.0,1.0,0.0,1.0
0.0479285134037368,0.42857142857142855,0.15217391304347827,0.008771929824561403,0.9592760180995475,0.7369878183831672,0.0,0.0,1.0,1.0,0.0
0.050365556458164096,0.42857142857142855,0.18478260869565216,0.03508771929824561,0.8506787330316742,0.5155038759689923,0.0,1.0,0.0,1.0,0.0
0.05253181695098836,1.0,0.13043478260869565,0.008771929824561403,0.9230769230769231,0.7323735695828719,0.0,0.0,1.0,1.0,0.0
0.054427294882209584,0.8571428571428571,0.20652173913043478,0.02631578947368421,0.995475113122172,0.8523440383905501,0.0,0.0,1.0,0.0,1.0
0.05578120769022475,0.0,0.13043478260869565,0.0,0.8461538461538461,0.6400885935769657,0.0,0.0,1.0,1.0,0.0
0.057676685621445976,0.5714285714285714,0.06521739130434782,0.03508771929824561,0.8190045248868778,0.44167589516426725,1.0,0.0,0.0,1.0,0.0
0.05821825074465205,0.8571428571428571,0.09782608695652174,0.07017543859649122,0.8371040723981901,0.6493170911775563,1.0,0.0,0.0,0.0,1.0
0.06877877064717032,0.0,0.06521739130434782,0.6666666666666666,0.8144796380090498,0.5662606127722407,1.0,0.0,0.0,0.0,1.0
0.07121581370159762,0.2857142857142857,0.010869565217391304,0.05263157894736842,0.8144796380090498,0.5016611295681063,1.0,0.0,0.0,1.0,0.0
0.07284050907121581,0.42857142857142855,0.2826086956521739,0.03508771929824561,0.7737556561085973,0.5201181247692875,0.0,1.0,0.0,1.0,0.0
0.0777145951800704,0.2857142857142857,0.21739130434782608,0.05263157894736842,0.8461538461538461,0.6031746031746031,0.0,1.0,0.0,0.0,1.0
0.07906850798808557,0.7142857142857143,0.14130434782608695,0.03508771929824561,0.8371040723981901,0.5108896271686969,0.0,1.0,0.0,1.0,0.0
0.08069320335770376,0.2857142857142857,0.5543478260869565,0.03508771929824561,0.04072398190045249,0.46474713916574384,0.0,1.0,0.0,1.0,0.0
0.08285946385052803,1.0,0.13043478260869565,0.043859649122807015,0.9049773755656109,0.5754891103728313,1.0,0.0,0.0,0.0,1.0
0.08448415922014622,0.0,0.15217391304347827,0.02631578947368421,0.8235294117647058,0.33554817275747506,0.0,1.0,0.0,1.0,0.0
0.08719198483617654,0.8571428571428571,0.14130434782608695,0.043859649122807015,0.8461538461538461,0.6031746031746031,1.0,0.0,0.0,0.0,1.0
0.08773354995938261,1.0,0.08695652173913043,0.043859649122807015,0.8371040723981901,0.5570321151716501,1.0,0.0,0.0,0.0,1.0
0.09098294069861901,0.8571428571428571,0.06521739130434782,0.03508771929824561,0.8009049773755657,0.46936138796603916,1.0,0.0,0.0,1.0,0.0
0.0934199837530463,0.5714285714285714,0.14130434782608695,0.0,0.9049773755656109,0.6124031007751938,0.0,0.0,1.0,1.0,0.0
0.09423233143785541,0.8571428571428571,0.17391304347826086,0.043859649122807015,0.9004524886877828,0.8523440383905501,0.0,0.0,1.0,0.0,1.0
0.09531546168426754,0.0,0.15217391304347827,0.008771929824561403,0.9366515837104072,0.6447028423772609,0.0,0.0,1.0,1.0,0.0
0.09558624424587056,0.5714285714285714,0.03260869565217391,0.03508771929824561,0.8235294117647058,0.5247323735695829,1.0,0.0,0.0,1.0,0.0
0.09612780936907662,0.0,0.043478260869565216,0.03508771929824561,0.8371040723981901,0.4739756367663344,1.0,0.0,0.0,1.0,0.0
0.10533441646357974,0.0,0.1956521739130435,0.043859649122807015,0.8687782805429864,0.5385751199704688,0.0,1.0,0.0,0.0,1.0
0.10722989439480098,0.5714285714285714,0.05434782608695652,0.043859649122807015,0.7330316742081447,0.4186046511627907,1.0,0.0,0.0,1.0,0.0
0.1083130246412131,0.8571428571428571,0.08695652173913043,0.043859649122807015,0.8416289592760181,0.6400885935769657,1.0,0.0,0.0,0.0,1.0
0.1115624153804495,1.0,0.1956521739130435,0.017543859649122806,0.9411764705882353,0.8892580287929125,0.0,0.0,1.0,0.0,1.0
0.1115624153804495,0.42857142857142855,0.18478260869565216,0.043859649122807015,0.8371040723981901,0.6493170911775563,0.0,1.0,0.0,0.0,1.0
0.1131871107500677,0.5714285714285714,0.20652173913043478,0.043859649122807015,0.8009049773755657,0.43706164636397193,0.0,1.0,0.0,0.0,1.0
0.11345789331167073,0.0,0.14130434782608695,0.03508771929824561,0.8506787330316742,0.5662606127722407,0.0,1.0,0.0,1.0,0.0
0.11562415380449499,0.0,0.1956521739130435,0.05263157894736842,0.8416289592760181,0.5570321151716501,0.0,1.0,0.0,0.0,1.0
0.11833197942052531,0.2857142857142857,0.15217391304347827,0.03508771929824561,0.8280542986425339,0.5385751199704688,0.0,1.0,0.0,1.0,0.0
0.12076902247495261,0.8571428571428571,0.05434782608695652,0.02631578947368421,0.7918552036199095,0.3909191583610188,1.0,0.0,0.0,1.0,0.0
